race-ethnicity,subgroup,order,Less than high school,High school,Some college,Bachelor's degree,Advanced degree
Taiwanese,East Asian,12,4.2,6.9,11.6,32.8,44.6
Japanese,East Asian,10,4.5,18.6,26,34,17
Filipino,Southeast Asian,15,7.4,15.6,29.5,38.5,9
Indonesian,Southeast Asian,17,7.5,15.9,27.3,30.4,19
Korean,East Asian,11,7.5,17.8,19.9,34.3,20.5
White,All,2,7.7,27.9,30.1,21.2,13
Asian Indian,South Asian,21,7.9,9,9.7,32.6,40.8
Native Hawaiian,Polynesian,29,8.8,38.2,36.4,11.5,5.2
Two or more races,All,7,9.3,22.1,35.5,21,12.1
Polynesian,Polynesian,28,9.9,38.3,36.5,10.5,4.8
Native Hawaiian and Other Pacific Islander,AAPI,25,11.1,35.6,37.1,11.6,4.6
Samoan,Polynesian,30,12,39.3,35.2,9.4,4.1
Pakistani,South Asian,24,12.4,16.7,17.7,29.9,23.4
Total Population,All,1,12.9,27.6,29,19,11.6
Guamanian or Chamorro,Micronesian,27,13.3,30.8,37.5,13.7,4.7
Asian American,AAPI,8,13.5,15.4,18.6,30.1,22.4
African American,All,3,15.2,31.6,33,12.8,7.4
Bangladeshi,South Asian,22,16,19.7,17.6,25.7,20.9
Micronesian,Micronesian,26,16.4,31.3,37.6,11.2,3.6
Some other race,All,6,17.1,22.9,25.5,22.5,12
Thai,Southeast Asian,19,17.1,15.7,21.4,28.4,17.4
Chinese,East Asian,9,17.2,14.2,13.9,26.9,27.8
American Indian and Alaska Native,All,5,17.7,33,34.6,9.6,5.1
Hmong,Southeast Asian,16,26.5,24,29.7,15.7,4
Vietnamese,Southeast Asian,20,26.6,22.6,22.3,20.2,8.3
Nepalese,South Asian,23,27.7,16,15,23.5,17.9
Laotian,Southeast Asian,18,29,32.6,24.3,10.4,3.7
Cambodian,Southeast Asian,14,31.5,26.8,23.8,13.8,4.2
Hispanic or Latino,All,4,34,27.6,23.6,10.2,4.6
Burmese,Southeast Asian,13,49.9,18.6,11.3,13.9,6.4